word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BQX,12,0.0006,99,0.0,155.02,1860.2400000000002
BNT,12,0.0006,257,0.0,59.72,716.64
ARK',12,0.0006,104,0.0,147.57,1770.84
FROM,12,0.0006,16547,0.0007,0.93,11.16
TENX,12,0.0006,79,0.0,194.27,2331.2400000000002
ASIC',12,0.0006,99,0.0,155.02,1860.2400000000002
EMA,12,0.0006,792,0.0,19.38,232.56
SPACE,12,0.0006,5419,0.0002,2.83,33.96
WHAT,12,0.0006,46229,0.0019,0.33,3.96
WOW,12,0.0006,14704,0.0006,1.04,12.48
MUCH,12,0.0006,24111,0.001,0.64,7.68
BTM,12,0.0006,874,0.0,17.56,210.71999999999997
HODLI,12,0.0006,119,0.0,128.97,1547.6399999999999
HEAT,11,0.0006,2227,0.0001,6.32,69.52000000000001
MANY,11,0.0006,9291,0.0004,1.51,16.61
NEED,11,0.0006,23646,0.0009,0.59,6.4899999999999993
LONG,11,0.0006,8476,0.0003,1.66,18.259999999999998
WANT,11,0.0006,21268,0.0009,0.66,7.2600000000000007
USE,11,0.0006,9731,0.0004,1.45,15.95
YEARS,11,0.0006,8210,0.0003,1.71,18.81
ARD,11,0.0006,327,0.0,43.02,473.22
HERE,11,0.0006,32115,0.0013,0.44,4.84
SNT,11,0.0006,206,0.0,68.29,751.19
PART,11,0.0006,5359,0.0002,2.63,28.93
DON'T,11,0.0006,26570,0.0011,0.53,5.83
RAM,11,0.0006,50734,0.002,0.28,3.08
CEX,11,0.0006,468,0.0,30.06,330.65999999999997
WSJ,11,0.0006,2583,0.0001,5.45,59.95
TOS,11,0.0006,8899,0.0004,1.58,17.380000000000003
HOLD,11,0.0006,2499,0.0001,5.63,61.93
BIP,11,0.0006,4511,0.0002,3.12,34.32
VERI,11,0.0006,35,0.0,401.95,4421.45
RIGHT,11,0.0006,21383,0.0009,0.66,7.2600000000000007
SNARK,11,0.0006,97,0.0,145.03,1595.33
SHIT,11,0.0006,27897,0.0011,0.5,5.5
RLC,11,0.0006,2635,0.0001,5.34,58.739999999999995
COULD,11,0.0006,10603,0.0004,1.33,14.63
ITS,11,0.0006,44617,0.0018,0.32,3.52
LIKE,11,0.0006,25040,0.001,0.56,6.16
HTML,11,0.0006,8747,0.0004,1.61,17.71
ETA,11,0.0006,10355,0.0004,1.36,14.96
